<RUS> Aaron_S._Daggett | award | Purple_Heart
<RUS> Agnes_Kant | birthPlace | Hessisch_Oldendorf
<RUS> Agnes_Ward_White | birthPlace | Marietta,_Ohio
<RUS> Airey_Neave | activeYearsStartDate | 1953-06-30
<RUS> Airey_Neave | award | Military_Cross
<RUS> Airey_Neave | militaryRank | Lieutenant_colonel
<RUS> Albert_B._White | party | Republican_Party_(United_States)
<RUS> Albert_B._White | spouse | Agnes_Ward_White
<RUS> Albert_Jennings_Fountain | militaryBranch | Union_Army
<RUS> Alberto_Teisaire | profession | "Rear Admiral in the Argentine Navy"
<RUS> Alfons_Gorbach | deathPlace | Austria
<RUS> Alfred_Moore_Scales | activeYearsStartDate | 1875-03-04
<RUS> Alfred_N._Phillips | birthPlace | Darien,_Connecticut
<RUS> Alfred_N._Phillips | office (workedAt, workedAs) | Mayor_of_Stamford,_Connecticut
<RUS> Allan_Shivers | activeYearsStartDate | 1947-01-21
<RUS> Allan_Shivers | successor | Price_Daniel
<RUS> Alvah_Sabin | activeYearsStartDate | 1853-03-04
<RUS> American_Civil_War | commander | Robert_E._Lee
<RUS> Battle_of_Antietam | commander | Robert_E._Lee
<RUS> Battle_of_Cold_Harbor | isPartOfMilitaryConflict | American_Civil_War
<RUS> Buenos_Aires | leaderName | Gabriela_Michetti
<RUS> Gulf_War | commander | Colin_Powell
<RUS> John_F._Kennedy | predecessor | Dwight_D._Eisenhower
<RUS> Juan_Carlos_I_of_Spain | predecessor | Francisco_Franco
<RUS> Netherlands | leaderName | Mark_Rutte
<RUS> United_States_Army | battles | Spanish–American_War
<RUS> William_M._O._Dawson | birthPlace | Bloomington,_Maryland
<RUS> Aaron_S._Daggett | battles | American_Civil_War
<RUS> Aaron_S._Daggett | battles | Battle_of_Antietam
<RUS> Aaron_S._Daggett | battles | Battle_of_Cold_Harbor
<RUS> Aaron_S._Daggett | battles | Battle_of_Fredericksburg
<RUS> Aaron_S._Daggett | battles | Battle_of_Garnett's_&_Golding's_Farm
<RUS> Aaron_S._Daggett | battles | Battle_of_Gettysburg
<RUS> Aaron_S._Daggett | battles | Battle_of_Salem_Church
<RUS> Aaron_S._Daggett | battles | Battle_of_South_Mountain
<RUS> Aaron_S._Daggett | battles | Battle_of_White_Oak_Swamp
<RUS> Aaron_S._Daggett | battles | Battle_of_the_Wilderness
<RUS> Aaron_S._Daggett | battles | Second_Battle_of_Rappahannock_Station
<RUS> Aaron_S._Daggett | birthPlace | Greene,_Maine
<RUS> Aaron_S._Daggett | birthPlace | Maine
<RUS> Aaron_S._Daggett | deathPlace | Massachusetts
<RUS> Aaron_S._Daggett | deathPlace | West_Roxbury
<RUS> Ab_Klink | almaMater | Erasmus_University_Rotterdam
<RUS> Ab_Klink | almaMater | Leiden_University
<RUS> Ab_Klink | birthDate | 1958-11-02
<RUS> Ab_Klink | birthPlace | Netherlands
<RUS> Ab_Klink | birthPlace | Stellendam
<RUS> Ab_Klink | nationality | Netherlands
<RUS> Ab_Klink | office (workedAt, workedAs) | "Member of the House of Representatives"
<RUS> Ab_Klink | office (workedAt, workedAs) | "Member of the Senate"
<RUS> Ab_Klink | office (workedAt, workedAs) | House_of_Representatives_(Netherlands)
<RUS> Ab_Klink | office (workedAt, workedAs) | Ministry_of_Health,_Welfare_and_Sport_(Netherlands)
<RUS> Ab_Klink | office (workedAt, workedAs) | Senate_(Netherlands)
<RUS> Ab_Klink | party | Christian_Democratic_Appeal
<RUS> Abdul_Rahman_Ya'kub | hasDeputy | Stephen_Yong_Kuet_Tze
<RUS> Abdul_Taib_Mahmud | birthDate | 1936-05-21
<RUS> Abdul_Taib_Mahmud | birthPlace | Kingdom_of_Sarawak
<RUS> Abdul_Taib_Mahmud | birthPlace | Miri,_Malaysia
<RUS> Abdul_Taib_Mahmud | party | "Barisan Ra'ayat Jati Sarawak"
<RUS> Abdul_Taib_Mahmud | party | Parti_Pesaka_Bumiputera_Bersatu
<RUS> Abdul_Taib_Mahmud | region | Asajaya
<RUS> Abdul_Taib_Mahmud | region | Balingian
<RUS> Abdul_Taib_Mahmud | residence | "Demak Jaya, Jalan Bako, Kuching, Sarawak"
<RUS> Abdul_Taib_Mahmud | residence | Kuching
<RUS> Abdul_Taib_Mahmud | residence | Sarawak
<RUS> Abdul_Taib_Mahmud | successor | Abdul_Rahman_Ya'kub
<RUS> Abdulsalami_Abubakar | almaMater | Technical_Institute,_Kaduna
<RUS> Abdulsalami_Abubakar | country | Nigeria
<RUS> Abdulsalami_Abubakar | inOfficeWhileVicePresident | Mike_Akhigbe
<RUS> Abdulsalami_Abubakar | militaryBranch | Nigerian_Air_Force
<RUS> Abdulsalami_Abubakar | office (workedAt, workedAs) | Chief_of_the_Defence_Staff_(Nigeria)
<RUS> Abdulsalami_Abubakar | successor | Al-Amin_Daggash
<RUS> Abdulsalami_Abubakar | successor | Olusegun_Obasanjo
<RUS> Abel_Caballero | almaMater | University_of_Santiago_de_Compostela
<RUS> Abel_Caballero | birthPlace | Galicia_(Spain)
<RUS> Abel_Caballero | birthPlace | Ponteareas
<RUS> Abel_Caballero | birthPlace | Spain
<RUS> Abel_Caballero | inOfficeWhilePrimeMinister | Felipe_González
<RUS> Abel_Caballero | nationality | Spain
<RUS> Abel_Caballero | office (workedAt, workedAs) | "Mayor of Vigo"
<RUS> Abel_Caballero | office (workedAt, workedAs) | "Member of the Congress of Deputies"
<RUS> Abel_Caballero | office (workedAt, workedAs) | "Minister of Transport"
<RUS> Abel_Caballero | office (workedAt, workedAs) | Ministry_of_Public_Works_and_Transport_(Spain)
<RUS> Abel_Caballero | party | Spanish_Socialist_Workers'_Party
<RUS> Abner_W._Sibal | birthDate | 1921-04-11
<RUS> Abner_W._Sibal | birthPlace | Ridgewood,_Queens
<RUS> Abner_W._Sibal | militaryBranch | United_States_Army
<RUS> Abner_W._Sibal | office (workedAt, workedAs) | "Member of the Connecticut Senate from the 26th District"
<RUS> Abner_W._Sibal | party | Republican_Party_(United_States)
<RUS> Abner_W._Sibal | region | Connecticut's_4th_congressional_district
<RUS> Abner_W._Sibal | successor | Donald_J._Irwin
<RUS> Abner_W._Sibal | successor | Marjorie_Farmer
<RUS> Abraham_A._Ribicoff | birthPlace | Connecticut
<RUS> Abraham_A._Ribicoff | birthPlace | New_Britain,_Connecticut
<RUS> Abraham_A._Ribicoff | birthPlace | United_States
<RUS> Abraham_A._Ribicoff | deathPlace | "New York City, New York, U.S."
<RUS> Abraham_A._Ribicoff | deathPlace | New_York
<RUS> Abraham_A._Ribicoff | deathPlace | New_York_City
<RUS> Abraham_A._Ribicoff | deathPlace | United_States
<RUS> Abraham_A._Ribicoff | inOfficeWhilePresident | John_F._Kennedy
<RUS> Abraham_A._Ribicoff | nationality | American
<RUS> Abraham_A._Ribicoff | nationality | United_States
<RUS> Abraham_A._Ribicoff | office (workedAt, workedAs) | "Governor of Connecticut"
<RUS> Abraham_A._Ribicoff | office (workedAt, workedAs) | "United States Secretary of Health, Education, and Welfare"
<RUS> Abraham_A._Ribicoff | party | Democratic_Party_(United_States)
<RUS> Abraham_A._Ribicoff | spouse | "Ruth Ribicoff"
<RUS> Abraham_A._Ribicoff | spouse | Casey_Ribicoff
<RUS> Abraham_A._Ribicoff | successor | John_N._Dempsey
<RUS> Adam_Holloway | activeYearsStartDate | 2005-05-05
<RUS> Adam_Holloway | almaMater | Magdalene_College,_Cambridge
<RUS> Adam_Holloway | battles | Gulf_War
<RUS> Adam_Holloway | birthPlace | "Faversham, Kent, England"
<RUS> Adam_Holloway | birthPlace | Faversham
<RUS> Adam_Holloway | militaryBranch | Grenadier_Guards
<RUS> Adam_Holloway | nationality | United_Kingdom
<RUS> Adam_Holloway | numberOfVotesAttained | 9312
<RUS> Adam_Holloway | office (workedAt, workedAs) | Member_of_Parliament_for_Gravesham
<RUS> Adam_Holloway | office (workedAt, workedAs) | Member_of_parliament
<RUS> Adam_Holloway | party | Conservative_Party_(UK)
<RUS> Adam_Koc | award | Cross_of_Independence
<RUS> Adam_Koc | award | Legion_of_Honour
<RUS> Adam_Koc | award | Officer's_Star_"Parasol"
<RUS> Adam_Koc | award | Order_of_Polonia_Restituta
<RUS> Adam_Koc | award | Virtuti_Militari
<RUS> Adam_Koc | battles | Polish–Soviet_War
<RUS> Adam_Koc | battles | World_War_I
<RUS> Adam_Koc | birthPlace | Congress_Poland
<RUS> Adam_Koc | birthPlace | Suwałki
<RUS> Adam_Koc | nationality | Poland
<RUS> Adenan_Satem | birthPlace | Japanese_occupation_of_British_Borneo
<RUS> Adenan_Satem | inOfficeWhileVicePresident | Abdul_Taib_Mahmud
<RUS> Adolf_Schärf | birthPlace | Austria-Hungary
<RUS> Adonis_Georgiadis | almaMater | National_and_Kapodistrian_University_of_Athens
<RUS> Adonis_Georgiadis | birthPlace | Athens
<RUS> Adonis_Georgiadis | birthPlace | Greece
<RUS> Adonis_Georgiadis | office (workedAt, workedAs) | "Deputy Parliamentary Spokesman of Popular Orthodox Rally"
<RUS> Adonis_Georgiadis | office (workedAt, workedAs) | "Minister for Health"
<RUS> Adonis_Georgiadis | office (workedAt, workedAs) | "Spokesman of Popular Orthodox Rally"
<RUS> Adonis_Georgiadis | office (workedAt, workedAs) | "Vice-President of New Democracy"
<RUS> Adonis_Georgiadis | office (workedAt, workedAs) | Member of the Hellenic Parliament
<RUS> Adonis_Georgiadis | office (workedAt, workedAs) | Ministry_of_Economy,_Development_and_Tourism_(Greece)
<RUS> Adonis_Georgiadis | office (workedAt, workedAs) | Ministry_of_Health_(Greece)
<RUS> Adonis_Georgiadis | party | New_Democracy_(Greece)
<RUS> Adonis_Georgiadis | successor | Makis_Voridis
<RUS> Agnes_Kant | almaMater | Radboud_University_Nijmegen
<RUS> Agnes_Kant | birthPlace | West_Germany
<RUS> Agnes_Kant | country | Netherlands
<RUS> Agnes_Kant | nationality | Netherlands
<RUS> Agnes_Kant | office (workedAt, workedAs) | "Member of the House of Representatives"
<RUS> Agnes_Kant | office (workedAt, workedAs) | Parliamentary_group_leader
<RUS> Agnes_Kant | office (workedAt, workedAs) | Socialist_Party_(Netherlands)
<RUS> Agnes_Kant | party | Socialist_Party_(Netherlands)
<RUS> Agnes_Kant | residence | Doesburg
<RUS> Agnes_Ward_White | deathPlace | Parkersburg,_West_Virginia
<RUS> Airey_Neave | activeYearsEndDate | 1979-03-30
<RUS> Airey_Neave | activeYearsStartDate | 1974-03-04
<RUS> Airey_Neave | award | Distinguished_Service_Order
<RUS> Airey_Neave | award | Order_of_the_British_Empire
<RUS> Airey_Neave | battles | Battle_of_France
<RUS> Airey_Neave | battles | World_War_II
<RUS> Airey_Neave | birthPlace | Knightsbridge
<RUS> Airey_Neave | deathPlace | "Westminster Hospital, London"
<RUS> Airey_Neave | unit | Royal_Artillery
<RUS> Albert_B._White | activeYearsEndDate | 1905-03-04
<RUS> Albert_B._White | activeYearsStartDate | 1901-03-04
<RUS> Albert_B._White | birthDate | 1856-09-22
<RUS> Albert_B._White | birthPlace | Cleveland
<RUS> Albert_B._White | birthYear | 1856
<RUS> Albert_B._White | dateOfDeath | 1941-07-03
<RUS> Albert_B._White | deathPlace | Parkersburg,_West_Virginia
<RUS> Albert_B._White | deathYear | 1941
<RUS> Albert_B._White | office (workedAt, workedAs) | "Governor of West Virginia"
<RUS> Albert_B._White | profession | Politician
<RUS> Albert_B._White | successor | William_M._O._Dawson
<RUS> Albert_Jennings_Fountain | battles | American_Civil_War
<RUS> Albert_Jennings_Fountain | battles | American_Indian_Wars
<RUS> Albert_Jennings_Fountain | birthPlace | New_York
<RUS> Albert_Jennings_Fountain | birthPlace | New_York_City
<RUS> Albert_Jennings_Fountain | birthPlace | Staten_Island
<RUS> Albert_Jennings_Fountain | birthPlace | United_States
<RUS> Albert_Jennings_Fountain | dateOfDeath | 1896-02-01
<RUS> Albert_Jennings_Fountain | deathPlace | Doña_Ana_County,_New_Mexico
<RUS> Albert_Jennings_Fountain | deathPlace | New_Mexico_Territory
<RUS> Albert_Jennings_Fountain | deathPlace | United_States
<RUS> Albert_Jennings_Fountain | inOfficeWhileVicePresident | Edmund_J._Davis
<RUS> Albert_Jennings_Fountain | militaryBranch | 1st_Regiment_New_Mexico_Volunteer_Cavalry
<RUS> Albert_Jennings_Fountain | office (workedAt, workedAs) | President_pro_tempore_of_the_Texas_Senate
<RUS> Albert_Jennings_Fountain | party | Republican_Party_(United_States)
<RUS> Alberto_Teisaire | birthDate | 1891-05-20
<RUS> Alberto_Teisaire | birthPlace | Mendoza,_Argentina
<RUS> Alberto_Teisaire | deathPlace | Buenos_Aires
<RUS> Alberto_Teisaire | inOfficeWhilePresident | Juan_Perón
<RUS> Alberto_Teisaire | office (workedAt, workedAs) | "Provisional President of the Argentine Senate"
<RUS> Alberto_Teisaire | party | Justicialist_Party
<RUS> Alberto_Teisaire | profession | Rear_admiral
<RUS> Alberto_Teisaire | successor | Isaac_Rojas
<RUS> Alfons_Gorbach | birthPlace | Austria
<RUS> Alfons_Gorbach | birthPlace | Austria-Hungary
<RUS> Alfons_Gorbach | birthPlace | County_of_Tyrol
<RUS> Alfons_Gorbach | birthPlace | Imst
<RUS> Alfons_Gorbach | birthPlace | Tyrol_(state)
<RUS> Alfons_Gorbach | deathPlace | Graz
<RUS> Alfons_Gorbach | deathPlace | Styria
<RUS> Alfons_Gorbach | inOfficeWhilePresident | Adolf_Schärf
<RUS> Alfons_Gorbach | party | Austrian_People's_Party
<RUS> Alfons_Gorbach | successor | Josef_Klaus
<RUS> Alfred_Moore_Scales | activeYearsStartDate | 1857-03-04
<RUS> Alfred_Moore_Scales | activeYearsStartDate | 1885-01-21
<RUS> Alfred_Moore_Scales | almaMater | University_of_North_Carolina_at_Chapel_Hill
<RUS> Alfred_Moore_Scales | battles | American_Civil_War
<RUS> Alfred_Moore_Scales | battles | Battle_of_Fredericksburg
<RUS> Alfred_Moore_Scales | battles | Battle_of_Gettysburg
<RUS> Alfred_Moore_Scales | battles | Peninsula_Campaign
<RUS> Alfred_Moore_Scales | battles | Siege_of_Petersburg
<RUS> Alfred_Moore_Scales | birthPlace | Reidsville,_North_Carolina
<RUS> Alfred_Moore_Scales | country | United_States
<RUS> Alfred_Moore_Scales | office (workedAt, workedAs) | "Governor of North Carolina"
<RUS> Alfred_Moore_Scales | party | Democratic_Party_(United_States)
<RUS> Alfred_Moore_Scales | successor | Daniel_Gould_Fowle
<RUS> Alfred_Moore_Scales | successor | James_Madison_Leach
<RUS> Alfred_Moore_Scales | successor | James_W._Reid_(politician)
<RUS> Alfred_N._Phillips | activeYearsEndDate | 1939-01-03
<RUS> Alfred_N._Phillips | birthPlace | Connecticut
<RUS> Alfred_N._Phillips | militaryBranch | United_States_Army
<RUS> Alfred_N._Phillips | office (workedAt, workedAs) | "Member of the U.S. House of Representatives from Connecticut's 4th district"
<RUS> Alfred_N._Phillips | office (workedAt, workedAs) | United_States_House_of_Representatives
<RUS> Alfred_N._Phillips | party | Democratic_Party_(United_States)
<RUS> Alfred_N._Phillips | successor | Albert_E._Austin
<RUS> Allan_Shivers | activeYearsStartDate | 1949-07-11
<RUS> Allan_Shivers | birthPlace | Lufkin,_Texas
<RUS> Allan_Shivers | office (workedAt, workedAs) | "Governor of Texas"
<RUS> Allan_Shivers | office (workedAt, workedAs) | "Lieutenant Governor of Texas"
<RUS> Allan_Shivers | office (workedAt, workedAs) | "Member of the Texas State Senate from District 4 (Port Arthur)"
<RUS> Allan_Shivers | party | Democratic_Party_(United_States)
<RUS> Allan_Shivers | successor | Ben_Ramsey
<RUS> Allan_Shivers | successor | Wilfred_R._Cousins,_Jr.
<RUS> Alvah_Sabin | birthDate | 1793-10-23
<RUS> Alvah_Sabin | birthPlace | Georgia,_Vermont
<RUS> Alvah_Sabin | deathPlace | Sycamore,_Illinois
<RUS> Alvah_Sabin | office (workedAt, workedAs) | Secretary_of_State_of_Vermont
<RUS> Alvah_Sabin | region | Vermont's_3rd_congressional_district
<RUS> Alvah_Sabin | religion | Baptists
<RUS> Alvah_Sabin | successor | Homer_Elihu_Royce
<RUS> American_Civil_War | commander | Abraham_Lincoln
<RUS> American_Civil_War | commander | Jefferson_Davis
<RUS> Antonis_Samaras | birthPlace | Athens
<RUS> Antonis_Samaras | hasDeputy | Evangelos_Venizelos
<RUS> Antonis_Samaras | inOfficeWhilePrimeMinister | Konstantinos_Mitsotakis
<RUS> Argentina | language | Spanish_language
<RUS> Argentina | officialLanguage | Spanish_language
<RUS> Austria | leaderName | Doris_Bures
<RUS> Battle_of_Antietam | isPartOfMilitaryConflict | American_Civil_War
<RUS> Battle_of_Chancellorsville | isPartOfMilitaryConflict | American_Civil_War
<RUS> Battle_of_Cold_Harbor | commander | Robert_E._Lee
<RUS> Battle_of_France | commander | Gerd_von_Rundstedt
<RUS> Battle_of_France | commander | Hugo_Sperrle
<RUS> Battle_of_Fredericksburg | commander | Robert_E._Lee
<RUS> Battle_of_Gettysburg | commander | Robert_E._Lee
<RUS> Battle_of_Gettysburg | isPartOfMilitaryConflict | American_Civil_War
<RUS> Battle_of_Salem_Church | commander | Robert_E._Lee
<RUS> Battle_of_Salem_Church | isPartOfMilitaryConflict | American_Civil_War
<RUS> Battle_of_the_Wilderness | isPartOfMilitaryConflict | American_Civil_War
<RUS> Buenos_Aires | governingBody | Buenos_Aires_City_Legislature
<RUS> Buenos_Aires | leaderName | Diego_Santilli
<RUS> Buenos_Aires | leaderName | Horacio_Rodríguez_Larreta
<RUS> Casey_Ribicoff | birthPlace | Chicago
<RUS> Cleveland | country | United_States
<RUS> Daniel_Gould_Fowle | almaMater | Princeton_University
<RUS> Emile_Roemer | party | Socialist_Party_(Netherlands)
<RUS> Erasmus_University_Rotterdam | affiliation | Association_of_MBAs
<RUS> Felipe_González | predecessor | Rodolfo_Llopis
<RUS> Grenadier_Guards | battles | Battle_of_Waterloo
<RUS> Gulf_War | commander | George_H._W._Bush
<RUS> Gulf_War | commander | John_Major
<RUS> House_of_Representatives_(Netherlands) | leaderName | Khadija_Arib
<RUS> Juan_Carlos_I_of_Spain | birthPlace | Rome
<RUS> Juan_Carlos_I_of_Spain | predecessor | Alfonso_XIII_of_Spain
<RUS> Juan_Carlos_I_of_Spain | spouse | Queen_Sofía_of_Spain
<RUS> Juan_Perón | inOfficeWhileGovernor | Hortensio_Quijano
<RUS> Juan_Perón | inOfficeWhileVicePresident | Hortensio_Quijano
<RUS> Juan_Perón | spouse | Eva_Perón
<RUS> Makis_Voridis | birthPlace | Athens
<RUS> Mike_Akhigbe | militaryBranch | Nigerian_Navy
<RUS> Mike_Akhigbe | successor | Atiku_Abubakar
<RUS> Netherlands | currency | Euro
<RUS> New_Democracy_(Greece) | colour | Blue
<RUS> New_York | language | Arabic
<RUS> New_York | language | French_language
<RUS> Nigeria | leaderName | Yemi_Osinbajo
<RUS> Nigerian_Air_Force | trainerAircraft | Aermacchi_MB-339
<RUS> Olusegun_Obasanjo | inOfficeWhileVicePresident | Atiku_Abubakar
<RUS> Olusegun_Obasanjo | predecessor | Abdulsalami_Abubakar
<RUS> Parkersburg,_West_Virginia | country | United_States
<RUS> Poland | ethnicGroup | Kashubians
<RUS> Poland | language | Polish_language
<RUS> Polish–Soviet_War | commander | Joseph_Stalin
<RUS> Polish–Soviet_War | commander | Leon_Trotsky
<RUS> Polish–Soviet_War | isPartOfMilitaryConflict | Russian_Civil_War
<RUS> Royal_Artillery | garrison | Hohne
<RUS> Siege_of_Petersburg | isPartOfMilitaryConflict | American_Civil_War
<RUS> Socialist_Party_(Netherlands) | colour | Red
<RUS> Socialist_Party_(Netherlands) | leaderName | Emile_Roemer
<RUS> Spain | currency | Euro
<RUS> Spain | language | Spanish_language
<RUS> Spain | leaderName | Felipe_VI_of_Spain
<RUS> Sycamore,_Illinois | region | DeKalb_County,_Illinois
<RUS> United_Kingdom | capital | London
<RUS> United_States | ethnicGroup | African_Americans
<RUS> United_States | ethnicGroup | Native_Americans_in_the_United_States
<RUS> United_States_Army | battles | American_Civil_War
<RUS> United_States_Army | battles | American_Revolutionary_War
<RUS> United_States_Army | battles | Invasion_of_Grenada
<RUS> United_States_Army | battles | Korean_War
<RUS> United_States_Army | battles | Operation_Enduring_Freedom
<RUS> United_States_Army | battles | Whiskey_Rebellion
<RUS> Vermont | largestCity | Burlington,_Vermont
<RUS> Whig_Party_(United_States) | leaderName | Daniel_Webster
<RUS> Whig_Party_(United_States) | leaderName | Henry_Clay
<RUS> William_M._O._Dawson | deathPlace | Charleston,_West_Virginia
<RUS> William_M._O._Dawson | party | Republican_Party_(United_States)
<RUS> World_War_II | commander | Benito_Mussolini
<RUS> World_War_II | commander | Chiang_Kai-shek
<RUS> World_War_II | commander | Franklin_D._Roosevelt
<RUS> World_War_II | commander | Joseph_Stalin
<RUS> World_War_II | place | East_African_Campaign_(World_War_II)
<RUS> World_War_II | place | South-East_Asian_theatre_of_World_War_II
<RUS> 1634:_The_Bavarian_Crisis | precededBy | 1634:_The_Baltic_War
<RUS> 1634:_The_Ram_Rebellion | mediaType | E-book
<RUS> AIDS_(journal) | country | United_Kingdom
<RUS> A_Fortress_of_Grey_Ice | author | J._V._Jones
<RUS> A_Long_Long_Way | precededBy | Annie_Dunne
<RUS> A_Severed_Wasp | OCLC_number | 8805735
<RUS> A_Severed_Wasp | language | English_language
<RUS> A_Severed_Wasp | numberOfPages | "388"
<RUS> A_Wizard_of_Mars | mediaType | Hardcover
<RUS> Addiction_(journal) | academicDiscipline | Addiction
<RUS> Administrative_Science_Quarterly | publisher | Cornell_University
<RUS> Alcatraz_Versus_the_Evil_Librarians | language | English_language
<RUS> American_Journal_of_Mathematics | abbreviation | "Am. J. Math."
<RUS> American_Journal_of_Mathematics | academicDiscipline | Mathematics
<RUS> English_language | spokenIn | Great_Britain
<RUS> English_language | spokenIn | Great_Britain
<RUS> English_language | spokenIn | Great_Britain
<RUS> United_Kingdom | leaderName | David_Cameron
<RUS> United_States | ethnicGroup | African_Americans
<RUS> United_States | ethnicGroup | Asian_Americans
<RUS> United_States | leaderName | Barack_Obama
<RUS> 1634:_The_Bavarian_Crisis | author | Eric_Flint
<RUS> 1634:_The_Ram_Rebellion | mediaType | E-book
<RUS> AIDS_(journal) | country | United_Kingdom
<RUS> A_Fortress_of_Grey_Ice | mediaType | Hardcover
<RUS> A_Loyal_Character_Dancer | author | Qiu_Xiaolong
<RUS> A_Loyal_Character_Dancer | language | English_language
<RUS> A_Loyal_Character_Dancer | publisher | Soho_Press
<RUS> A_Wizard_of_Mars | mediaType | Hardcover
<RUS> Acta_Mathematica_Hungarica | LCCN_number | 83646315
<RUS> Acta_Palaeontologica_Polonica | LCCN_number | 60040714
<RUS> Acta_Palaeontologica_Polonica | publisher | Polish_Academy_of_Sciences
<RUS> Administrative_Science_Quarterly | publisher | Cornell_University
<RUS> Administrative_Science_Quarterly | publisher | Cornell_University
<RUS> Aenir | numberOfPages | "233"
<RUS> Alcatraz_Versus_the_Evil_Librarians | language | English_language
<RUS> American_Journal_of_Mathematics | publisher | Johns_Hopkins_University_Press
<RUS> English_language | spokenIn | Great_Britain
<RUS> United_States | leaderName | Barack_Obama
<RUS> United_States | leaderName | Barack_Obama
<RUS> United_States | leaderName | Barack_Obama
<RUS> United_States | leaderName | Barack_Obama
<RUS> 1634:_The_Bavarian_Crisis | ISBN_number | "978-1-4165-4253-7"
<RUS> 1634:_The_Bavarian_Crisis | ISBN_number | "978-1-4165-4253-7"
<RUS> 1634:_The_Bavarian_Crisis | ISBN_number | "978-1-4165-4253-7"
<RUS> 1634:_The_Bavarian_Crisis | author | Eric_Flint
<RUS> 1634:_The_Bavarian_Crisis | author | Eric_Flint
<RUS> 1634:_The_Bavarian_Crisis | author | Eric_Flint
<RUS> 1634:_The_Bavarian_Crisis | author | Eric_Flint
<RUS> 1634:_The_Bavarian_Crisis | author | Eric_Flint
<RUS> 1634:_The_Bavarian_Crisis | author | Eric_Flint
<RUS> 1634:_The_Bavarian_Crisis | author | Eric_Flint
<RUS> 1634:_The_Bavarian_Crisis | author | Eric_Flint
<RUS> 1634:_The_Bavarian_Crisis | author | Eric_Flint
<RUS> 1634:_The_Bavarian_Crisis | author | Eric_Flint
<RUS> 1634:_The_Bavarian_Crisis | author | Eric_Flint
<RUS> 1634:_The_Bavarian_Crisis | author | Eric_Flint
<RUS> 1634:_The_Bavarian_Crisis | author | Eric_Flint
<RUS> 1634:_The_Bavarian_Crisis | followedBy | Ring_of_Fire_II
<RUS> 1634:_The_Bavarian_Crisis | precededBy | 1634:_The_Ram_Rebellion
<RUS> 1634:_The_Ram_Rebellion | author | Eric_Flint
